section,segment,metric,value,unit,denominator,period_start_utc,period_end_utc,note,source_sha256
language_stream,cs,low_review_share,35.7143,percent,14,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,cs,positive_review_count,5,count,,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,cs,positive_review_share,35.7143,percent,14,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,hu,review_count,14,count,,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,hu,mean_rating,3.2857,stars,,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,hu,low_review_count,5,count,,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,hu,low_review_share,35.7143,percent,14,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,hu,positive_review_count,8,count,,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,hu,positive_review_share,57.1429,percent,14,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,hi,review_count,13,count,,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,hi,mean_rating,4.6154,stars,,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,hi,low_review_count,1,count,,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,hi,low_review_share,7.6923,percent,13,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,hi,positive_review_count,12,count,,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,hi,positive_review_share,92.3077,percent,13,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,uk,review_count,11,count,,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,uk,mean_rating,4.2727,stars,,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,uk,low_review_count,2,count,,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,uk,low_review_share,18.1818,percent,11,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,uk,positive_review_count,9,count,,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,uk,positive_review_share,81.8182,percent,11,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,da,review_count,10,count,,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,da,mean_rating,3.2,stars,,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,da,low_review_count,4,count,,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,da,low_review_share,40.0,percent,10,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,da,positive_review_count,6,count,,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,da,positive_review_share,60.0,percent,10,,,queried locale; not detected review language,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
language_stream,suppressed,stream_count,18,count,,,,streams with fewer than 10 reviews,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,english_stream,denominator,3092,count,,,,1-2 stars; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,reliability_performance,matched_count,1316,count,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,reliability_performance,matched_share,42.5614,percent,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,authentication_access,matched_count,346,count,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,authentication_access,matched_share,11.1902,percent,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,ux_navigation,matched_count,346,count,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,ux_navigation,matched_share,11.1902,percent,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,missing_mobile_capability,matched_count,207,count,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,missing_mobile_capability,matched_share,6.6947,percent,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,data_sync_entry,matched_count,194,count,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,data_sync_entry,matched_share,6.2743,percent,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,search_list_filter,matched_count,96,count,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,search_list_filter,matched_share,3.1048,percent,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,files_media,matched_count,67,count,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,files_media,matched_share,2.1669,percent,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,notifications,matched_count,43,count,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,notifications,matched_share,1.3907,percent,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,update_regression,matched_count,95,count,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,update_regression,matched_share,3.0724,percent,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,field_work_context,matched_count,271,count,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
low_review_theme,field_work_context,matched_share,8.7646,percent,3092,,,English stream; multi-label keyword matching,a9a83c3186adc6016d0b59b5b2454ce3206ed6b4573e919ddb76f1c809970292
